No,Pengguna,Rating,Tanggal,Isi Ulasan,Ground Truth,Prediksi Naive Bayes,Prediksi Gemma 3 LLM,Kategori Isu (LLM),Alasan Penalaran AI,Beda Pendapat ML vs LLM
31,Adji Saroso,5,2026-09-10,ok banget,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'ok banget' menunjukkan kepuasan pengguna terhadap aplikasi secara keseluruhan, yang termasuk dalam kategori apresiasi dan kepuasan.",false
32,Ahmad Failani,1,2026-09-10,keburu sekarat,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Penggunaan kata 'sekarat' mengindikasikan masalah serius dan kegagalan aplikasi, yang termasuk dalam kategori masalah teknis dan bug.  Ini menunjukkan pengalaman pengguna yang sangat buruk.",false
33,wedusss212 weduss,1,2026-09-10,"aplikasi malah tambah nyusahin mau berobat jadi susah , log in sulit minta otp selalu g bisa,....",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan kesulitan login, masalah OTP yang terus-menerus gagal, dan secara keseluruhan aplikasi 'tambah nyusahin' proses berobat. Ini mengindikasikan masalah teknis yang signifikan yang memengaruhi pengalaman pengguna.",false
34,dion alief,5,2026-09-10,"sekarang mau ngapa""in jadi ribet",Negatif,Negatif,Negatif,Fitur & UI/UX,"Pengguna menyatakan ketidaknyamanan dan kekesalan karena aplikasi menjadi 'ribet', mengindikasikan masalah dengan desain atau fungsionalitas aplikasi yang mengganggu pengalaman pengguna.",false
35,cristina a,3,2026-09-10,"sering error, tolong di upgrade dong",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan 'sering error' dan meminta 'upgrade', yang mengindikasikan ketidakpuasan terhadap performa aplikasi dan kebutuhan perbaikan teknis. Ini secara langsung terkait dengan masalah teknis.",false
36,Indra Bmth,3,2026-09-10,mau ngambil antrian online gagal Mulu udah dicoba segala ha gabisal mohon di perbaiki lagi,Netral,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyatakan frustrasi karena antrian online gagal berulang kali, menunjukkan ketidakpuasan terhadap proses layanan dan antrean yang tidak berfungsi dengan baik. Penggunaan kata 'gagal mulu' dan 'mohon di perbaiki' mengindikasikan sentimen negatif yang kuat.",false
37,Sakti Octova,1,2026-09-10,optimalkan lagi dong aplikasinya masa untuk hp ram 6 gb force close terus,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan masalah teknis spesifik (force close) yang dialami pengguna dengan spesifikasi perangkat (ram 6gb), menunjukkan ketidakpuasan terhadap performa aplikasi.",false
38,M Riki Saputra,1,2026-09-10,"kadang memudahkan kadang menyusahkan karna gamau login dan terlog out sendiri, Optimali lagi ni aplikasi",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Pengguna mengeluhkan masalah login/logout otomatis yang menyebabkan ketidaknyamanan, serta menyebutkan keinginan untuk optimalisasi aplikasi, mengindikasikan adanya bug atau masalah teknis yang perlu diperbaiki.",false
39,Muhammad Qosim,1,2026-09-10,kurang baik,Negatif,Positif,Negatif,Masalah Teknis & Bug,"Ulasan 'kurang baik' menunjukkan ketidakpuasan yang jelas terhadap aplikasi, yang seringkali terkait dengan masalah teknis atau bug yang mempengaruhi fungsionalitas.",true
40,Malik Fajar,1,2026-09-10,verifikasi otp lewat sms ga muncul2 alasan jaringan padahal jaringan bagus karena menggunakan wifi,Positif,Positif,Negatif,Masalah Teknis & Bug,"Pengguna mengalami masalah dengan verifikasi OTP melalui SMS yang tidak berfungsi, meskipun koneksi internetnya baik. Ini mengindikasikan adanya bug atau masalah teknis dalam aplikasi.",true
41,Sihabuddin Addimiyyati,1,2026-09-10,jelek bet susah daftar,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan aplikasi 'jelek bet' dan 'susah daftar', mengindikasikan masalah dalam proses pendaftaran dan kemungkinan masalah teknis yang menyulitkan pengguna. Kata 'bet' menunjukkan kekesalan dan ketidakpuasan.",false
42,FI KAR,1,2026-09-10,"kode otp nya ga ada, apk apaan ini",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan 'kode otp nya ga ada' dan 'apk apaan ini', yang mengindikasikan masalah teknis dengan fungsi penting aplikasi dan ketidakpuasan pengguna secara keseluruhan. Ini jelas merupakan masalah dengan fungsionalitas aplikasi.",false
43,Heri Mulyana,1,2026-09-10,knpa aplikasi ini susah sekali .. kompatibel terus apa masalah ny..dulu lancar2 aja,Positif,Negatif,Negatif,Masalah Teknis & Bug,"Pengguna menyatakan aplikasi 'susah sekali' dan menanyakan tentang 'kompatibel terus apa masalah ny', mengindikasikan adanya masalah teknis atau bug yang menyebabkan gangguan dalam penggunaan aplikasi.  'Dulu lancar2 aja' menunjukkan adanya perubahan yang tidak diinginkan setelah pembaruan.",false
44,Abdi Nawawi,5,2026-09-10,aplikasi Bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan menyatakan 'aplikasi Bagus', yang merupakan pernyataan positif langsung mengenai kualitas aplikasi. Kategori ini paling sesuai karena ulasan tersebut tidak membahas masalah spesifik, melainkan memberikan umpan balik positif secara umum.",false
45,Himalaya Sadewa,5,2026-09-10,mantap pelayanan,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan menyatakan 'mantap pelayanan', yang merupakan ungkapan positif dan menunjukkan kepuasan terhadap layanan yang diberikan.",false
46,Paijo87 Jhony87,5,2026-09-10,mudah cara pegunaan ya,Positif,Positif,Positif,Fitur & UI/UX,"Ulasan menyatakan 'mudah cara pegunaan', yang mengindikasikan pengalaman positif terhadap antarmuka dan kemudahan penggunaan aplikasi. Ini termasuk dalam kategori fitur dan UI/UX.",false
47,Pincok 26,1,2026-09-10,saya berharap petugas BPJS kalo input data tu mata melek jangan merem satu angka/huruf salah anda mepotkan kami!!!,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan mengungkapkan kekesalan mendalam terhadap kesalahan input data yang dilakukan oleh petugas BPJS, yang dianggap sebagai masalah teknis serius. Penggunaan bahasa yang marah dan kata-kata seperti 'merem satu angka/huruf salah' menunjukkan sentimen negatif yang kuat.",false
48,Saepul Islam,1,2026-09-10,SUMPAH INI APLIKASI JELEK BANGET. SERING KELUAR SENDIRI PADAHAL PASWORD SUDAH BENAR SAMPE GAGAL 3 KALI MASUK. PADAHAL URGENT MAU DIPAKE KECEWA,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan mengungkapkan kekesalan mendalam terhadap aplikasi karena sering keluar sendiri meskipun password sudah benar, serta kegagalan setelah beberapa kali percobaan. Ini mengindikasikan masalah teknis yang signifikan yang memengaruhi pengalaman pengguna.",false
49,Anto Boyz,5,2026-09-10,sangat luar biasa,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan 'sangat luar biasa' menunjukkan kepuasan yang kuat terhadap aplikasi dan layanan yang diberikan. Ini termasuk dalam kategori apresiasi dan kepuasan pengguna.,false
50,Zainal Abidin,5,2026-09-10,mantaap,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'mantaap' menunjukkan apresiasi langsung terhadap aplikasi, mengindikasikan kepuasan pengguna. Kategori ini paling sesuai karena ulasan tersebut tidak menyoroti masalah atau kekurangan.",false
51,Pujianto Agustus,5,2026-09-10,ok bangat yang penting okey mantrap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
52,Melani Futria,3,2026-09-10,"dulu mah gampang mau masuk tinggal klik sandi ,skrg agak ribet deh berkali2 jaringan eror gabisa masuk aplikasi mencoba uninstal trs didownload ulang malahan gbs jg",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
53,Malang Bagus,1,2026-09-10,"sekarang malah susah mau ambil no antrean biasa nya tinggal pilih peserta, apa harus bikin akun lagi untuk nik anak biar bisa ambil nomor antrean",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
54,Muslikhin ali khusni,1,2026-09-10,aplikasi bodoh. tiap bulan mesti login.itu bodoh fb aja ga tiap bulan login.perpinter lagi,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
55,Nadine Nazyre,4,2026-09-10,"Setelah di update APK kenapa malah logout sendiri dan tidak bisa login lagi?,.. Padahal sinyal kuat dan semua data yang di masukkan sudah betul,.. Ini gimana ya? Apakah APKnya sudah tidak bisa di gunakan?",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 4: Ulasan berisi keluhan keras terkait masalah teknis & bug ('Setelah di update APK kenapa malah logout sen...'), terdeteksi sentimen negatif tersirat.",false
56,Rachmat Sudrajat,1,2026-09-10,"Gmn mau buka,kudu update wae.Klo Hp bagus dan memory cukup gak masalah,lah ini hp jadul memory kecil .... Malah jd masalah baru lg ini,gmn sy mau berobat",Positif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
57,Budi Prayitno,1,2026-09-10,Mengapa tidak ada dukungan mobile jkn ini untuk android 8/9? apa memang pengguna jkn hanya utntuk orang mampu? rakyat kecil tidak boleh menggunakan fasilitas jkn?,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
58,Oki Abdul karom,5,2026-09-10,aplikasi bermanfaat sangat membantu dan mempermudah masyarakat. petugas nya pun ramah tamah dan sangat membantu. terimakasih,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
59,Dennise Saputra,1,2026-09-10,saya daftar JKN mobile dari pagi sampe malem otp sms ga pernah masuk cuman otp Gmail aja yang masuk,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
60,Edo Pandeirot,5,2026-09-10,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
61,Helni Depag,5,2026-09-10,sangat membantu dalam pengecekan kesehatan,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
62,muklas khan,1,2026-09-10,aplikasi tidak bisa di buka,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
63,Insan Kamil Budiman,1,2026-09-10,"kurang berguna, apk jebakan",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
64,Rukwati Yahya,1,2026-09-10,sms verifikasi tidak kunjung masuk,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
65,Hadi Sancoko,5,2026-09-10,ok,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
66,Dzaki Airil,5,2026-09-10,sangat membantu kami,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
67,Zikri Maulvi,5,2026-09-10,the best,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
68,legal,1,2026-09-10,"Apasih bolak balik harus login, rempong bgt",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
69,Wiwit Amelia,5,2026-09-10,mudah dan gampang g pake ribet,Negatif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
70,Purwati Wati,4,2026-09-10,lumayan akurat. hanya kadang rumit bolak-balik verifikasi akun. password PIN. jatuhnya kepada org tua yg mulai renta mata krg awas. ingatan mulai lemah. jdi lupa lupa terus PIN atau password. jadi lama prosesnya utk berobat,Negatif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
71,Sondang Mayda,3,2026-09-10,srg kali mnt login & logout sesuka nya. muak awak.,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
72,Wahyu Wulan,1,2026-09-10,pas masukin nomer nggak bisa terus udah 1 bulan di coba lagi masih nggak bisa padahal nomer masih aktif ada pulsanya juga,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
73,Farhanghani,1,2026-09-10,aplikasi BUSUKKKK,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
74,Imam bae,1,2026-09-10,apk sampah tiba² keluar sendri IT nya ga besus kerjanya,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
75,Ashfi Amarilis Wafda,5,2026-09-10,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
76,Zein Arief,1,2026-09-10,apk gk bisa buat reset password kayak nya apk ini hny pajangan,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
77,Darto Gum,5,2026-09-10,good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
78,Ogi Suhendar,4,2026-09-10,kenapa hp saya tidak dapat meng update jkn dan tidak bisa di buka,Positif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 4: Ulasan berisi keluhan keras terkait masalah teknis & bug ('kenapa hp saya tidak dapat meng update jkn da...'), terdeteksi sentimen negatif tersirat.",false
79,Dede Sopandi,5,2026-09-10,good sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
80,Nurul Anwar,5,2026-09-10,"sangatttt membantu, terimakasih mobile JKN",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
81,saukat ali,5,2026-09-10,excellent,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
82,Fitri YD,5,2026-09-10,pelayanan ini sangat membantu kami warga indonesia,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
83,Arie Ramadanie,1,2026-09-10,aplikasi sampah buatnya mahal tapi slalu macet dari otp hingga registrasi tidak bisa diaktifkan,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
84,kriswan setiadi,3,2026-09-10,aplikasi bagus setiap mau di pakai harus verifikasi padahal sudah di catat bagus bagus pasword tapi selalu salah beneran bikin capek,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
